,clean_text,sentiment,clean_word_count,clean_char_count,clean_avg_word_length
0,id responded going,neutral,3,18,6.0
1,soon sad miss san diego,negative,5,23,4.6
2,boss building me,negative,3,16,5.333333333333333
3,interview leave alone,negative,3,21,7.0
4,sons couldn put release already bought,negative,6,40,6.666666666666667
5, shameless plugging best rangers forum earth,neutral,7,68,9.714285714285714
6,2am feedings baby fun smiles coos,positive,6,33,5.5
7,soooo high,neutral,2,10,5.0
8,,neutral,0,0,
9,journey wow u became cooler hehe is possible,positive,8,44,5.5
10,much love hopeful reckon chances minimal p im never gonna get cake stuff,neutral,13,72,5.538461538461538
11,really really like song love story taylor swift,positive,8,47,5.875
12,sharpie running dangerously low ink,negative,5,35,7.0
13,want go music tonight lost voice,negative,6,32,5.333333333333333
14,test test lg env2,neutral,4,17,4.25
15,uh oh sunburned,negative,3,15,5.0
16,sok trying plot alternatives speak sigh,negative,6,39,6.5
17,ive sick past days thus hair looks wierd didnt hat would look ,negative,13,82,6.3076923076923075
18,back home gonna miss every one,negative,6,30,5.0
19,hes,neutral,1,3,3.0
20,oh marly im sorry hope find soon 3 3,neutral,9,36,4.0
21,playing ghost online really interesting new updates kirin pet metamorph third job cant wait dragon pet,positive,16,102,6.375
22,cleaning house family comming later today,neutral,6,41,6.833333333333333
23,gotta restart computer thought win7 supposed put end constant rebootiness,neutral,10,73,7.3
24,see wat mean bout foll0w friidays its called lose f0llowers friday smh,neutral,12,70,5.833333333333333
25,free fillin app ipod fun im addicted,positive,7,36,5.142857142857143
26,im sorry,negative,2,8,4.0
27,way malaysiano internet access twit,negative,5,35,7.0
28,juss came backk berkeleyy omg madd fun havent minute whassqoodd,positive,10,63,6.3
29,went sleep power cut noida power back working,negative,8,45,5.625
30,im going home now seen new twitter design quiteheavenly isn,positive,10,59,5.9
31,hope unni make audition fighting dahye unni,positive,7,43,6.142857142857143
32,consolation got bmi tested hahaha says obesed well much unhappy 10 minutes,negative,12,74,6.166666666666667
33,thats funny cute kids,positive,4,21,5.25
34,ahhh slept game im gonna try best watch tomorrow though hope play army,neutral,13,70,5.384615384615385
35,thats it end tears fears vs eric prydz dj hero ,neutral,11,62,5.636363636363637
36,born raised nyc living texas past 10 years still miss ny,negative,11,56,5.090909090909091
37,case wonder really busy today coming adding tons new blogs updates stay tuned,neutral,13,77,5.923076923076923
38,im soooooo sleeeeepy last day o school todaysniffle,negative,8,51,6.375
39,little happy wine jeje ok itsm free time cares jaja love day,positive,12,60,5.0
40,car happy big big dent boot hoping theyre going write off crossing fingers waiting,neutral,14,82,5.857142857142857
41,im avid fan magazine love magazines,positive,6,35,5.833333333333333
42,mayday,neutral,1,6,6.0
43,ratt rocked nashville toniteone thing sucked encore like 80s still fun show pearcy hott bad boy look,neutral,17,100,5.882352941176471
44,love to im available 5pm dear would love help convert vidsãââ½,positive,11,62,5.636363636363637
